OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
123,02ED100,BEETON CREEK NEAR TOTTENHAM,44.049169999999997,-79.803340000000006,ON,UTC-05:00,41020860,20865,0.000000000222821
124,02ED101,NOTTAWASAGA RIVER NEAR ALLISTON,44.110550000000003,-79.890270000000001,ON,UTC-05:00,41020581,20586,0.000000000951324
125,02ED102,BOYNE RIVER AT EARL ROWE PARK,44.152500000000003,-79.896670000000000,ON,UTC-05:00,41020417,20422,0.000000000010827
126,02FA001,SAUBLE RIVER AT SAUBLE FALLS,44.677500000000002,-81.256110000000007,ON,UTC-05:00,41018632,18637,0.000000000351479
127,02FA002,STOKES RIVER NEAR FERNDALE,45.036949999999997,-81.336389999999994,ON,UTC-05:00,41017758,17763,0.000000000177692
128,02FA004,SAUBLE RIVER AT ALLENFORD,44.535559999999997,-81.177779999999998,ON,UTC-05:00,41019038,19043,0.000000003234945
129,02FB007,SYDENHAM RIVER NEAR OWEN SOUND,44.522219999999997,-80.930269999999993,ON,UTC-05:00,41019129,19134,0.000000001080139
130,02FB009,BEAVER RIVER NEAR CLARKSBURG,44.520000000000003,-80.467780000000005,ON,UTC-05:00,41019003,19008,0.000000000926358
131,02FB010,BIGHEAD RIVER NEAR MEAFORD,44.570279999999997,-80.648610000000005,ON,UTC-05:00,41018824,18829,0.000000000455800
132,02FB012,MILL CREEK NEAR RED WING,44.464359999999999,-80.485579999999999,ON,UTC-05:00,41019241,19246,0.000000000293727
133,02FB013,BEAVER RIVER NEAR VANDELEUR,44.346139999999998,-80.539969999999997,ON,UTC-05:00,41019700,19705,0.000000000254117
134,02FB014,BIGHEAD RIVER NEAR STRATHAVON,44.471780000000003,-80.776529999999994,ON,UTC-05:00,41019206,19211,0.000000000163264
135,02FC001,SAUGEEN RIVER NEAR PORT ELGIN,44.456389999999999,-81.326390000000004,ON,UTC-05:00,41019417,19422,0.000000000822184
