Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,rainrate
282,2015-10-12 18:00:00,0,0.149333,0.286468,0
283,2015-10-12 19:00:00,0,0.149335,0.28633,0
284,2015-10-12 20:00:00,0,0.149337,0.28622,0
285,2015-10-12 21:00:00,0,0.149338,0.286146,0
286,2015-10-12 22:00:00,0,0.149339,0.2861,0
287,2015-10-12 23:00:00,0,0.149339,0.286059,0
288,2015-10-13 00:00:00,0,0.14934,0.286024,0
289,2015-10-13 01:00:00,0,0.14934,0.285997,0
290,2015-10-13 02:00:00,0,0.14934,0.285974,0
291,2015-10-13 03:00:00,0,0.149341,0.285953,0
292,2015-10-13 04:00:00,0,0.149341,0.285932,0
293,2015-10-13 05:00:00,0,0.149341,0.285918,0
294,2015-10-13 06:00:00,0,0.149341,0.285909,0
295,2015-10-13 07:00:00,0,0.149341,0.285902,0
296,2015-10-13 08:00:00,0,0.149341,0.285895,0
297,2015-10-13 09:00:00,0,0.149341,0.28589,0
298,2015-10-13 10:00:00,0,0.149341,0.285885,0.000007
299,2015-10-13 11:00:00,0,0.149341,0.285895,0.000018
300,2015-10-13 12:00:00,0,0.149341,0.285927,0
301,2015-10-13 13:00:00,0,0.149341,0.285923,0.000032
302,2015-10-13 14:00:00,0,0.14934,0.28597,0.000171
303,2015-10-13 15:00:00,0,0.149336,0.286254,0.000017
304,2015-10-13 16:00:00,0,0.149336,0.286248,0
305,2015-10-13 17:00:00,0,0.149337,0.286187,0
306,2015-10-13 18:00:00,0,0.149338,0.286117,0
307,2015-10-13 19:00:00,0,0.14934,0.286009,0
308,2015-10-13 20:00:00,0,0.149341,0.285924,0
309,2015-10-13 21:00:00,0,0.149342,0.285865,0
310,2015-10-13 22:00:00,0,0.149342,0.285824,0
311,2015-10-13 23:00:00,0,0.149343,0.285792,0
312,2015-10-14 00:00:00,0,0.149343,0.285766,0
313,2015-10-14 01:00:00,0,0.149343,0.285751,0
314,2015-10-14 02:00:00,0,0.149344,0.285733,0
315,2015-10-14 03:00:00,0,0.149344,0.285713,0
316,2015-10-14 04:00:00,0,0.149344,0.285689,0
317,2015-10-14 05:00:00,0,0.149344,0.285666,0
318,2015-10-14 06:00:00,0,0.149345,0.285642,0
319,2015-10-14 07:00:00,0,0.149345,0.28562,0
320,2015-10-14 08:00:00,0,0.149345,0.285599,0
321,2015-10-14 09:00:00,0,0.149346,0.285577,0
322,2015-10-14 10:00:00,0,0.149346,0.285557,0
323,2015-10-14 11:00:00,0,0.149346,0.285535,0
324,2015-10-14 12:00:00,0,0.149347,0.285513,0
325,2015-10-14 13:00:00,0,0.149347,0.285464,0
326,2015-10-14 14:00:00,0,0.149348,0.285388,0
327,2015-10-14 15:00:00,0,0.14935,0.285282,0
328,2015-10-14 16:00:00,0,0.149351,0.285148,0
329,2015-10-14 17:00:00,0,0.149354,0.28499,0
330,2015-10-14 18:00:00,0,0.149356,0.284819,0
331,2015-10-14 19:00:00,0,0.149358,0.284652,0
332,2015-10-14 20:00:00,0,0.14936,0.284502,0
333,2015-10-14 21:00:00,0,0.149362,0.284386,0
334,2015-10-14 22:00:00,0,0.149363,0.284295,0
335,2015-10-14 23:00:00,0,0.149364,0.28422,0
336,2015-10-15 00:00:00,0,0.149365,0.284158,0
337,2015-10-15 01:00:00,0,0.149365,0.28411,0
338,2015-10-15 02:00:00,0,0.149366,0.284062,0
339,2015-10-15 03:00:00,0,0.149367,0.284015,0
340,2015-10-15 04:00:00,0,0.149367,0.283972,0
341,2015-10-15 05:00:00,0,0.149368,0.283932,0
342,2015-10-15 06:00:00,0,0.149368,0.283894,0
343,2015-10-15 07:00:00,0,0.149369,0.283859,0
344,2015-10-15 08:00:00,0,0.149369,0.283827,0
345,2015-10-15 09:00:00,0,0.149369,0.283796,0
346,2015-10-15 10:00:00,0,0.14937,0.283768,0
347,2015-10-15 11:00:00,0,0.14937,0.283743,0
348,2015-10-15 12:00:00,0,0.14937,0.28372,0
349,2015-10-15 13:00:00,0,0.149371,0.283679,0
350,2015-10-15 14:00:00,0,0.149372,0.283615,0
351,2015-10-15 15:00:00,0,0.149373,0.283525,0
352,2015-10-15 16:00:00,0,0.149375,0.283403,0
353,2015-10-15 17:00:00,0,0.149376,0.283258,0
354,2015-10-15 18:00:00,0,0.149379,0.2831,0
355,2015-10-15 19:00:00,0,0.14938,0.282947,0
356,2015-10-15 20:00:00,0,0.149382,0.282823,0
357,2015-10-15 21:00:00,0,0.149383,0.282732,0
358,2015-10-15 22:00:00,0,0.149384,0.282664,0
359,2015-10-15 23:00:00,0,0.149385,0.282604,0
360,2015-10-16 00:00:00,0,0.149386,0.28255,0
361,2015-10-16 01:00:00,0,0.149386,0.282505,0
362,2015-10-16 02:00:00,0,0.149387,0.282465,0
363,2015-10-16 03:00:00,0,0.149387,0.28243,0
364,2015-10-16 04:00:00,0,0.149388,0.282398,0
365,2015-10-16 05:00:00,0,0.149388,0.282372,0
366,2015-10-16 06:00:00,0,0.149388,0.282351,0
367,2015-10-16 07:00:00,0,0.149388,0.282331,0
368,2015-10-16 08:00:00,0,0.149389,0.282315,0
369,2015-10-16 09:00:00,0,0.149389,0.2823,0
370,2015-10-16 10:00:00,0,0.149389,0.282284,0
371,2015-10-16 11:00:00,0,0.149389,0.282268,0
372,2015-10-16 12:00:00,0,0.149389,0.282255,0
373,2015-10-16 13:00:00,0,0.14939,0.282228,0
374,2015-10-16 14:00:00,0,0.14939,0.282182,0
375,2015-10-16 15:00:00,0,0.149391,0.282118,0
376,2015-10-16 16:00:00,0,0.149393,0.282008,0
377,2015-10-16 17:00:00,0,0.149394,0.281874,0
378,2015-10-16 18:00:00,0,0.149396,0.281722,0
379,2015-10-16 19:00:00,0,0.149398,0.281563,0
380,2015-10-16 20:00:00,0,0.1494,0.281433,0
381,2015-10-16 21:00:00,0,0.149401,0.281337,0
382,2015-10-16 22:00:00,0,0.149402,0.281276,0
383,2015-10-16 23:00:00,0,0.149402,0.281228,0
384,2015-10-17 00:00:00,0,0.149403,0.281189,0
385,2015-10-17 01:00:00,0,0.149403,0.281159,0
386,2015-10-17 02:00:00,0,0.149404,0.281134,0
387,2015-10-17 03:00:00,0,0.149404,0.281114,0
388,2015-10-17 04:00:00,0,0.149404,0.281104,0
389,2015-10-17 05:00:00,0,0.149404,0.281083,0
390,2015-10-17 06:00:00,0,0.149404,0.281059,0
391,2015-10-17 07:00:00,0,0.149405,0.281033,0
392,2015-10-17 08:00:00,0,0.149405,0.28101,0
393,2015-10-17 09:00:00,0,0.149405,0.280989,0
394,2015-10-17 10:00:00,0,0.149406,0.280967,0
395,2015-10-17 11:00:00,0,0.149406,0.280945,0
396,2015-10-17 12:00:00,0,0.149406,0.28092,0
397,2015-10-17 13:00:00,0,0.149407,0.280875,0
398,2015-10-17 14:00:00,0,0.149408,0.280798,0
399,2015-10-17 15:00:00,0,0.149409,0.280692,0
400,2015-10-17 16:00:00,0,0.149411,0.280557,0
401,2015-10-17 17:00:00,0,0.149413,0.28041,0
402,2015-10-17 18:00:00,0,0.149414,0.280255,0
403,2015-10-17 19:00:00,0,0.149416,0.280112,0
404,2015-10-17 20:00:00,0,0.149418,0.279983,0
405,2015-10-17 21:00:00,0,0.149419,0.279878,0
406,2015-10-17 22:00:00,0,0.14942,0.279791,0
407,2015-10-17 23:00:00,0,0.149421,0.279714,0
408,2015-10-18 00:00:00,0,0.149422,0.279646,0
409,2015-10-18 01:00:00,0,0.149423,0.279589,0
410,2015-10-18 02:00:00,0,0.149423,0.279535,0
411,2015-10-18 03:00:00,0,0.149424,0.279486,0
412,2015-10-18 04:00:00,0,0.149424,0.27944,0
413,2015-10-18 05:00:00,0,0.149425,0.279398,0
414,2015-10-18 06:00:00,0,0.149425,0.279357,0
