Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
85,2020-01-04 13:00:00,0.000000000,0.194703922,0.209565540,0.211813510,0.216705026,0.226335018,0.000000000
86,2020-01-04 14:00:00,0.000000000,0.194705861,0.209548804,0.211795847,0.216685205,0.226310331,0.078055885
87,2020-01-04 15:00:00,0.000000000,0.194705161,0.209554847,0.211802225,0.216692362,0.226319245,0.079906737
88,2020-01-04 16:00:00,0.000000000,0.194704820,0.209557790,0.211805331,0.216695848,0.226323586,0.076860726
89,2020-01-04 17:00:00,0.000000000,0.194705161,0.209554848,0.211802226,0.216692363,0.226319246,0.000000000
90,2020-01-04 18:00:00,0.000000000,0.194710039,0.209512729,0.211757776,0.216642485,0.226257132,0.063292571
91,2020-01-04 19:00:00,0.000000000,0.194712459,0.209491822,0.211735714,0.216617731,0.226226310,0.000000000
92,2020-01-04 20:00:00,0.000000000,0.194722196,0.209407612,0.211646853,0.216518038,0.226102214,0.000000000
93,2020-01-04 21:00:00,0.000000000,0.194724389,0.209388623,0.211626816,0.216495562,0.226074244,0.000000000
94,2020-01-04 22:00:00,0.000000000,0.194726037,0.209374351,0.211611757,0.216478671,0.226053226,0.000000000
95,2020-01-04 23:00:00,0.000000000,0.194727386,0.209362664,0.211599426,0.216464839,0.226036016,0.000000000
96,2020-01-05 00:00:00,0.000000000,0.194728714,0.209351163,0.211587291,0.216451228,0.226019082,0.000000000
97,2020-01-05 01:00:00,0.000000000,0.194729996,0.209340047,0.211575562,0.216438072,0.226002715,0.000000000
98,2020-01-05 02:00:00,0.000000000,0.194731296,0.209328785,0.211563679,0.216424745,0.225986136,0.000000000
99,2020-01-05 03:00:00,0.000000000,0.194732630,0.209317217,0.211551474,0.216411057,0.225969108,1.259999976
100,2020-01-05 04:00:00,0.000000000,0.194675921,0.209806572,0.212067919,0.216990609,0.226690951,0.195446603
101,2020-01-05 05:00:00,0.000000000,0.194668404,0.209871088,0.212136026,0.217067090,0.226786351,0.195114849
102,2020-01-05 06:00:00,0.000000000,0.194661212,0.209932729,0.212201102,0.217140179,0.226877550,0.194422987
103,2020-01-05 07:00:00,0.000000000,0.194654000,0.209994467,0.212266286,0.217213400,0.226968943,0.194406539
104,2020-01-05 08:00:00,0.000000000,0.194646760,0.210056374,0.212331652,0.217286836,0.227060637,0.000000000
105,2020-01-05 09:00:00,0.000000000,0.194648712,0.210039692,0.212314037,0.217267046,0.227035923,0.000000000
106,2020-01-05 10:00:00,0.000000000,0.194651048,0.210019717,0.212292946,0.217243350,0.227006336,0.000000000
107,2020-01-05 11:00:00,0.000000000,0.194653437,0.209999287,0.212271375,0.217219117,0.226976080,0.000000000
108,2020-01-05 12:00:00,0.000000000,0.194655996,0.209977391,0.212248256,0.217193146,0.226943659,0.000000000
109,2020-01-05 13:00:00,0.000000000,0.194659781,0.209944987,0.212214044,0.217154716,0.226895692,0.000000000
110,2020-01-05 14:00:00,0.000000000,0.194664871,0.209901374,0.212167999,0.217102999,0.226831153,0.000000000
111,2020-01-05 15:00:00,0.000000000,0.194670868,0.209849945,0.212113705,0.217042023,0.226755080,0.000000000
